Curs,Codi centre,Denominació completa,"Codi naturalesa (1,2)",Nom naturalesa,Codi titularitat,Nom titularitat,Codi delegació,Nom delegació,Codi comarca,Nom comarca,Codi municipi_5,Nom municipi,Codi ensenyament,Nom ensenyament,Torn,Nivell,Nombre grups,Nombre places,Places ofertades a la preinscripció
2024/2025,43010748,Institut Els Pallaresos,1,Públic,01,Departament d'Educació,0143,Tarragona,36,Tarragonès,43100,Els Pallaresos,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,2,70,13
2024/2025,43010748,Institut Els Pallaresos,1,Públic,01,Departament d'Educació,0143,Tarragona,36,Tarragonès,43100,Els Pallaresos,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,2,70,0
2024/2025,43010608,Institut Serra de Miramar,1,Públic,01,Departament d'Educació,0143,Tarragona,01,Alt Camp,43161,Valls,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,2,70,0
2024/2025,43010608,Institut Serra de Miramar,1,Públic,01,Departament d'Educació,0143,Tarragona,01,Alt Camp,43161,Valls,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,2,70,0
2024/2025,43010578,Institut Fontanelles,1,Públic,01,Departament d'Educació,0143,Tarragona,08,Baix Camp,43031,Les Borges del Camp,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,2,70,28
2024/2025,43010578,Institut Fontanelles,1,Públic,01,Departament d'Educació,0143,Tarragona,08,Baix Camp,43031,Les Borges del Camp,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,2,70,16
2024/2025,43010414,Institut Coster de la Torre,1,Públic,01,Departament d'Educació,1260,Penedès,12,Baix Penedès,43028,La Bisbal del Penedès,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,2,70,0
2024/2025,43010414,Institut Coster de la Torre,1,Públic,01,Departament d'Educació,1260,Penedès,12,Baix Penedès,43028,La Bisbal del Penedès,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,2,70,0
2024/2025,43010372,Institut La Talaia,1,Públic,01,Departament d'Educació,1260,Penedès,12,Baix Penedès,43037,Calafell,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,2,70,2
2024/2025,43010372,Institut La Talaia,1,Públic,01,Departament d'Educació,1260,Penedès,12,Baix Penedès,43037,Calafell,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,2,70,0
2024/2025,43010372,Institut La Talaia,1,Públic,01,Departament d'Educació,1260,Penedès,12,Baix Penedès,43037,Calafell,BATXLOE 1000,Batxillerat d'arts,Matí i tarda,2,5,18,4
2024/2025,43010372,Institut La Talaia,1,Públic,01,Departament d'Educació,1260,Penedès,12,Baix Penedès,43037,Calafell,BATXLOE 1000,Batxillerat d'arts,Matí i tarda,1,5,18,16
2024/2025,43010347,Institut Marta Mata,1,Públic,01,Departament d'Educació,0143,Tarragona,36,Tarragonès,43905,Salou,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,2,70,19
2024/2025,43010347,Institut Marta Mata,1,Públic,01,Departament d'Educació,0143,Tarragona,36,Tarragonès,43905,Salou,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,2,70,0
2024/2025,43010335,Institut La Mar de la Frau,1,Públic,01,Departament d'Educació,0143,Tarragona,08,Baix Camp,43038,Cambrils,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,2,70,0
2024/2025,43010335,Institut La Mar de la Frau,1,Públic,01,Departament d'Educació,0143,Tarragona,08,Baix Camp,43038,Cambrils,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,2,70,0
2024/2025,43010189,Institut Mediterrània,1,Públic,01,Departament d'Educació,1260,Penedès,12,Baix Penedès,43163,El Vendrell,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,1,35,3
2024/2025,43010189,Institut Mediterrània,1,Públic,01,Departament d'Educació,1260,Penedès,12,Baix Penedès,43163,El Vendrell,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,2,70,70
2024/2025,43009977,Institut d'Altafulla,1,Públic,01,Departament d'Educació,0143,Tarragona,36,Tarragonès,43012,Altafulla,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,2,70,0
2024/2025,43009977,Institut d'Altafulla,1,Públic,01,Departament d'Educació,0143,Tarragona,36,Tarragonès,43012,Altafulla,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,2,70,0
2024/2025,43009850,Institut Ernest Lluch i Martí,1,Públic,01,Departament d'Educació,1260,Penedès,12,Baix Penedès,43051,Cunit,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,2,70,5
2024/2025,43009850,Institut Ernest Lluch i Martí,1,Públic,01,Departament d'Educació,1260,Penedès,12,Baix Penedès,43051,Cunit,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,2,70,6
2024/2025,43009497,Institut Fonts del Glorieta,1,Públic,01,Departament d'Educació,0143,Tarragona,01,Alt Camp,43005,Alcover,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,1,35,0
2024/2025,43009497,Institut Fonts del Glorieta,1,Públic,01,Departament d'Educació,0143,Tarragona,01,Alt Camp,43005,Alcover,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,1,35,0
2024/2025,43009187,Institut Martí l'Humà,1,Públic,01,Departament d'Educació,0143,Tarragona,16,Conca de Barberà,43086,Montblanc,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,3,105,17
2024/2025,43009187,Institut Martí l'Humà,1,Públic,01,Departament d'Educació,0143,Tarragona,16,Conca de Barberà,43086,Montblanc,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,3,105,60
